method,roundIndex,roundTargetIntensityTrue,roundEvalCount,roundAccepted
mREV,1,13858.6091341305,3968,1
mREV,2,13858.6091341305,6144,0
mREV,3,13858.6091341305,15872,0
mREV,4,13858.6091341305,41344,0
mREV-GSS,1,11292.5580240452,843,1
mREV-GSS,2,11292.5580240452,934,0
mREV-GSS,3,11292.5580240452,1183,0
mREV-GSS,4,11292.5580240452,1468,0
PFPD,1,13368.8250560163,1280,1
PFPD,2,13368.8250560163,1280,0
PFPD,3,13368.8250560163,1280,0
PFPD,4,13368.8250560163,1280,0
5PPS,1,15362.9046539871,640,1
5PPS,2,15362.9046539871,640,0
5PPS,3,15362.9046539871,640,0
5PPS,4,15362.9046539871,640,0
SPGD,1,6142.45504339827,1250,1
SPGD,2,9492.33387358102,1250,1
SPGD,3,11048.5800251134,1250,1
SPGD,4,11826.2855287838,1250,1
Hill-Climb,1,13194.1780594887,4096,1
Hill-Climb,2,13194.1780594887,2048,0
Hill-Climb,3,13194.1780594887,2048,0
Hill-Climb,4,13194.1780594887,2048,0
