theta_deg,initial_intensity,mrev_intensity,mrev_norm_intensity,mrevGss_intensity,mrevGss_norm_intensity,pfpd_intensity,pfpd_norm_intensity,fivePps_intensity,fivePps_norm_intensity,spgd_intensity,spgd_norm_intensity,hillClimb_intensity,hillClimb_norm_intensity
-15,146.927243620069,31.6589131170932,0.00227972984265283,11.7317157806329,0.00103322355617192,31.7166876128398,0.00237243643176905,1.41362919171208,9.20157498566006e-05,102.180925805674,0.00852249925611641,20.2195142667166,0.00153245728347402
-14.9866666666667,176.477462861081,35.7662533172848,0.00257549571413655,15.1920703365089,0.00133798032889736,31.5356934325664,0.00235889790616825,2.10229382796589,0.00013684221020146,97.0707015249714,0.00809627604187678,18.3608105055819,0.00139158425957255
-14.9733333333333,206.478164256399,38.0671261036209,0.00274117949284866,19.2415172108479,0.00169461903190284,30.8786783291946,0.00230975259230418,2.98909385464613,0.000194565671138913,89.4388069367055,0.00745973046902739,16.4375558970386,0.00124581886214711
-14.96,233.426677691522,38.3980846640252,0.00276501152094275,23.6763104381203,0.00208519556093313,29.5647423643892,0.0022114690139568,3.98165149876291,0.000259173091836481,79.993896244019,0.00667196852894094,14.9719509205792,0.00113473918974528
-14.9466666666667,253.849439892102,36.8910427823761,0.00265649079128232,28.1834042360725,0.00248213967115512,27.4668004106386,0.00205454109060078,4.91113932415312,0.000319675180883098,69.5517977436751,0.00580103517225243,14.245316627811,0.00107966684727029
-14.9333333333333,264.798386508892,33.9386931282276,0.00244389474960475,32.3648654120916,0.00285040500139892,24.5539953888905,0.00183666068528892,5.566019604685,0.000362302554760727,58.941443662718,0.00491606829561577,14.2362270582757,0.00107897793967072
-14.92,264.296381238944,30.1182315060742,0.00216878674635399,35.7836122183494,0.00315149733937087,20.9258390462398,0.00156527136517675,5.74731414418058,0.000374103353084925,48.9180656453372,0.00408005872706519,14.6431668421014,0.00110982031439015
-14.9066666666667,251.66042302417,26.0869239468947,0.00187849591692524,38.0245209907457,0.00334885634244988,16.8271089654974,0.00125868271108274,5.33245834468324,0.000347099618515129,40.0943114606453,0.0033441049481945,14.9853176883915,0.0011357522704959
-14.8933333333333,227.648675107721,22.4676930121102,0.00161787835437773,38.7608740642889,0.00341370766986615,12.6354012747403,0.000945139249096095,4.33128597543687,0.000281931449357318,32.8960180324019,0.00274372430079088,14.7569418265574,0.00111844343467419
-14.88,194.403628678662,19.7444112604266,0.00142177728621083,37.813863551673,0.00333030353803469,8.81856263160378,0.000659636325155983,2.91806062270692,0.000189941986130181,27.5448980241777,0.00229740894467235,13.5981453450724,0.00103061708609375
