method,roundCount,evalCount,runtimeSec,actualIter,targetIntensity,mainPeak,sidePeak,smsrDb,slsrDb,fwhmDeg,beamDivergenceDeg,mainPeakThetaDeg,targetThetaDeg,pointingErrorDeg,pointingErrorAbsDeg,mainLobePowerRatio
mREV,4,67328,0.8408914,NaN,13858.6091341305,13887.1336966195,950.485781693438,11.646669919941,11.646669919941,0.156001304561084,0.156001304561084,5.01333333333333,5,0.0133333333333319,0.0133333333333319,0.689509430058099
mREV-GSS,4,4428,0.0719498,NaN,11292.5580240452,11354.4795901662,791.889115104595,11.5650286057326,11.5650286057326,0.15146225800341,0.15146225800341,5.01333333333333,5,0.0133333333333319,0.0133333333333319,0.485884401641888
PFPD,4,5120,0.8669421,NaN,13368.8250560163,13368.8250560162,915.963550530054,11.6421504828421,11.6421504828421,0.153217423852101,0.153217423852101,5,5,0,0,0.629742146921863
5PPS,4,2560,0.0913205,NaN,15362.9046539871,15362.9046539871,762.416181360324,13.0428123012007,13.0428123012007,0.154286288207262,0.154286288207262,5,5,0,0,0.798374973807238
SPGD,4,5000,0.1442008,2500,11826.2855287838,11989.5493956589,765.720804531137,11.9473241429915,11.9473241429915,0.156175740977941,0.156175740977941,5.01333333333333,5,0.0133333333333319,0.0133333333333319,0.545522162452948
Hill-Climb,4,10240,0.1861183,NaN,13194.1780594887,13194.1780594887,704.776167653599,12.7233113094682,12.7233113094682,0.154341118413027,0.154341118413027,5,5,0,0,0.627958344769661
