point_index,method,input_wavelength_nm,matched_wavelength_nm,delta_lambda_nm,letter,letter_index,point_id,x_pixel,y_pixel,image_path,result_path,best_intensity,final_intensity,eval_count,elapsed_sec,status,error_message
1,5pps,1556,1556,6.027,U,8,U8,206,154,E:\2026光赛\vision0418\calibration_outputs\20260418_143845_lambda_1556p0nm\point_01_U8_x206_y154_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_143845_lambda_1556p0nm\point_01_U8_x206_y154_result.mat,4002,429235,1793,295.4206964,completed,
2,5pps,1556,1556,6.027,U,10,U10,230,154,E:\2026光赛\vision0418\calibration_outputs\20260418_143845_lambda_1556p0nm\point_02_U10_x230_y154_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_143845_lambda_1556p0nm\point_02_U10_x230_y154_result.mat,4027,426103,1793,328.944809,completed,
