point_index,method,input_wavelength_nm,matched_wavelength_nm,delta_lambda_nm,letter,letter_index,point_id,x_pixel,y_pixel,image_path,result_path,best_intensity,final_intensity,eval_count,elapsed_sec,status,error_message
1,5pps,1546.7,1546.7,-3.288,Z,8,Z8,113,120,E:\2026光赛\vision0418\calibration_outputs\20260418_134037_lambda_1546p7nm\point_01_Z8_x113_y120_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_134037_lambda_1546p7nm\point_01_Z8_x113_y120_result.mat,2852,418020,1793,306.977304,completed,
2,5pps,1546.7,1546.7,-3.288,J,1,J1,173,120,E:\2026光赛\vision0418\calibration_outputs\20260418_134037_lambda_1546p7nm\point_02_J1_x173_y120_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_134037_lambda_1546p7nm\point_02_J1_x173_y120_result.mat,2961,424603,1793,332.2115923,completed,
3,5pps,1546.7,1546.7,-3.288,U,1,U1,197,120,E:\2026光赛\vision0418\calibration_outputs\20260418_134037_lambda_1546p7nm\point_03_U1_x197_y120_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_134037_lambda_1546p7nm\point_03_U1_x197_y120_result.mat,3126,424141,1793,316.9075652,completed,
4,5pps,1546.7,1546.7,-3.288,U,5,U5,239,120,E:\2026光赛\vision0418\calibration_outputs\20260418_134037_lambda_1546p7nm\point_04_U5_x239_y120_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_134037_lambda_1546p7nm\point_04_U5_x239_y120_result.mat,3665,426374,1793,305.1661379,completed,
