method,roundCount,evalCount,runtimeSec,actualIter,targetIntensity,mainPeak,sidePeak,smsrDb,slsrDb,fwhmDeg,beamDivergenceDeg,mainPeakThetaDeg,targetThetaDeg,pointingErrorDeg,pointingErrorAbsDeg,mainLobePowerRatio
mREV,4,67328,0.8266588,NaN,13592.3059741509,13592.3059741509,717.539414978996,12.774473801189,12.774473801189,0.154219221158741,0.154219221158741,0,0,0,0,0.656167928316035
mREV-GSS,4,4434,0.0767037,NaN,9989.35168888946,9989.35168888946,589.562551728697,12.2900741344552,12.2900741344552,0.1532454911798,0.1532454911798,0,0,0,0,0.408422336559391
PFPD,4,5120,0.8871373,NaN,12856.3040508476,12856.3040508476,682.586040698084,12.7495873247041,12.7495873247041,0.153261702454296,0.153261702454296,0,0,0,0,0.603907281063681
5PPS,4,2560,0.0476207,NaN,14963.3142040274,14963.3142040274,742.025116114715,13.0460918991845,13.0460918991845,0.153805428298192,0.153805428298192,0,0,0,0,0.763256044515459
SPGD,4,5000,0.1144302,2500,11691.4355345185,11691.4355345185,927.21293452527,11.0068835798225,11.0068835798225,0.153453169697717,0.153453169697717,0,0,0,0,0.51898486969656
Hill-Climb,4,10240,0.1415504,NaN,13530.4421439402,13530.4421439402,730.943537365759,12.6742815793997,12.6742815793997,0.153921926824832,0.153921926824832,0,0,0,0,0.653644462813422
