method,roundIndex,roundTargetIntensityTrue,roundEvalCount,roundAccepted
mREV,1,13373.2676331583,3968,1
mREV,2,13373.2676331583,6144,0
mREV,3,13373.2676331583,15872,0
mREV,4,13592.3059741509,41344,1
mREV-GSS,1,9989.35168888946,841,1
mREV-GSS,2,9989.35168888946,931,0
mREV-GSS,3,9989.35168888946,1180,0
mREV-GSS,4,9989.35168888946,1482,0
PFPD,1,12856.3040508476,1280,1
PFPD,2,12856.3040508476,1280,0
PFPD,3,12856.3040508476,1280,0
PFPD,4,12856.3040508476,1280,0
5PPS,1,14963.3142040274,640,1
5PPS,2,14963.3142040274,640,0
5PPS,3,14963.3142040274,640,0
5PPS,4,14963.3142040274,640,0
SPGD,1,6404.66302726453,1250,1
SPGD,2,9363.99448688615,1250,1
SPGD,3,10763.241172073,1250,1
SPGD,4,11691.4355345185,1250,1
Hill-Climb,1,13317.5682770748,4096,1
Hill-Climb,2,13317.5682770748,2048,0
Hill-Climb,3,13417.8235744797,2048,1
Hill-Climb,4,13530.4421439402,2048,1
