point_index,method,input_wavelength_nm,matched_wavelength_nm,delta_lambda_nm,letter,letter_index,point_id,x_pixel,y_pixel,image_path,result_path,best_intensity,final_intensity,eval_count,elapsed_sec,status,error_message
1,5pps,1543.4,1543.4,-6.575,Z,0,Z0,81,108,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_01_Z0_x81_y108_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_01_Z0_x81_y108_result.mat,10138,576558,1793,310.2900889,completed,
2,5pps,1543.4,1543.4,-6.575,Z,1,Z1,95,108,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_02_Z1_x95_y108_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_02_Z1_x95_y108_result.mat,9472,586730,1793,299.1610416,completed,
3,5pps,1543.4,1543.4,-6.575,Z,2,Z2,109,108,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_03_Z2_x109_y108_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_03_Z2_x109_y108_result.mat,8837,542234,1793,325.7323195,completed,
4,5pps,1543.4,1543.4,-6.575,Z,3,Z3,123,108,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_04_Z3_x123_y108_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_04_Z3_x123_y108_result.mat,10155,575175,1793,296.1004546,completed,
5,5pps,1543.4,1543.4,-6.575,J,0,J0,173,108,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_05_J0_x173_y108_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_05_J0_x173_y108_result.mat,10380,607747,1793,311.3133964,completed,
6,5pps,1543.4,1543.4,-6.575,U,0,U0,197,108,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_06_U0_x197_y108_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_06_U0_x197_y108_result.mat,10441,586060,1793,310.7565972,completed,
7,5pps,1543.4,1543.4,-6.575,U,4,U4,239,108,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_07_U4_x239_y108_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_114236_lambda_1543p4nm\point_07_U4_x239_y108_result.mat,11649,620463,1793,313.1074582,completed,
