point_index,method,input_wavelength_nm,matched_wavelength_nm,delta_lambda_nm,letter,letter_index,point_id,x_pixel,y_pixel,image_path,result_path,best_intensity,final_intensity,eval_count,elapsed_sec,status,error_message
1,5pps,1565.616,1565.616,15.616,C,8,C8,201,189,E:\2026光赛\vision0420\calibration_outputs\20260420_125849_lambda_1565p616nm\point_01_C8_x201_y189_best_image.tif,E:\2026光赛\vision0420\calibration_outputs\20260420_125849_lambda_1565p616nm\point_01_C8_x201_y189_result.mat,13649,682866,1793,310.3421317,completed,
2,5pps,1565.616,1565.616,15.616,C,12,C12,119,189,E:\2026光赛\vision0420\calibration_outputs\20260420_125849_lambda_1565p616nm\point_02_C12_x119_y189_best_image.tif,E:\2026光赛\vision0420\calibration_outputs\20260420_125849_lambda_1565p616nm\point_02_C12_x119_y189_result.mat,13998,677281,1793,293.7904538,completed,
