method,roundCount,evalCount,runtimeSec,actualIter,targetIntensity,mainPeak,sidePeak,smsrDb,slsrDb,fwhmDeg,beamDivergenceDeg,mainPeakThetaDeg,targetThetaDeg,pointingErrorDeg,pointingErrorAbsDeg,mainLobePowerRatio
mREV,4,67328,0.8671373,NaN,13897.596066485,13897.596066485,855.159329174135,12.1089264683478,12.1089264683478,0.157154255345681,0.157154255345681,10,10,0,0,0.691929929223945
mREV-GSS,4,4458,0.0644066,NaN,10734.7338632521,10734.7338632521,474.262993097252,13.547720439996,13.547720439996,0.158339402882502,0.158339402882502,10,10,0,0,0.477770306807377
PFPD,4,5120,0.7354294,NaN,13242.3255428251,13242.3255428252,673.790319467468,12.9343949309814,12.9343949309814,0.155978282767908,0.155978282767908,10,10,0,0,0.632781009166404
5PPS,4,2560,0.0496709,NaN,15041.6198255742,15041.6198255742,842.673284721677,12.5163538206234,12.5163538206234,0.15594863426397,0.15594863426397,10,10,0,0,0.774790048805146
SPGD,4,5000,0.1228611,2500,11046.8757502032,11046.8757502032,554.184571008346,12.9958503883669,12.9958503883669,0.162135976423171,0.162135976423171,10,10,0,0,0.50515167229538
Hill-Climb,4,10240,0.1503117,NaN,13147.3675223786,13147.3675223785,996.022967665592,11.2056945030174,11.2056945030174,0.154140495087658,0.154140495087658,10,10,0,0,0.622749530858336
