point_index,method,input_wavelength_nm,matched_wavelength_nm,delta_lambda_nm,letter,letter_index,point_id,x_pixel,y_pixel,image_path,result_path,best_intensity,final_intensity,eval_count,elapsed_sec,status,error_message
1,5pps,1550,1550,0,Z,9,Z9,102,132,E:\2026光赛\vision0418\calibration_outputs\20260418_105115_lambda_1550p0nm\point_01_Z9_x102_y132_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_105115_lambda_1550p0nm\point_01_Z9_x102_y132_result.mat,9391,595965,1793,310.1746793,completed,
2,5pps,1550,1550,0,J,2,J2,173,132,E:\2026光赛\vision0418\calibration_outputs\20260418_105115_lambda_1550p0nm\point_02_J2_x173_y132_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_105115_lambda_1550p0nm\point_02_J2_x173_y132_result.mat,10959,601267,1793,291.7679825,completed,
3,5pps,1550,1550,0,U,2,U2,197,132,E:\2026光赛\vision0418\calibration_outputs\20260418_105115_lambda_1550p0nm\point_03_U2_x197_y132_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_105115_lambda_1550p0nm\point_03_U2_x197_y132_result.mat,8408,548999,1793,297.8431165,completed,
4,5pps,1550,1550,0,U,6,U6,239,132,E:\2026光赛\vision0418\calibration_outputs\20260418_105115_lambda_1550p0nm\point_04_U6_x239_y132_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_105115_lambda_1550p0nm\point_04_U6_x239_y132_result.mat,11472,612895,1793,311.7229252,completed,
