wavelength_run,point_label,method,target_x_px,target_y_px,eval_count,elapsed_sec,final_intensity,best_intensity,phase_FWHM_deg,wl_FWHM_deg,phase_FWHM_px,wl_FWHM_px,peak_x_px,peak_y_px,peak_x_deg,peak_y_deg,deviation_x_px,deviation_y_px,deviation_rss_px,deviation_x_deg,deviation_y_deg,deviation_rss_deg,status
20260418_105115_lambda_1550p0nm,point_03_U2_x197_y132,5pps,197,132,1793,297.8431165,548999,8408,0.211,0.178,4.911,4.143,197,126,8.465,5.414,0,-6,6,0,-0.258,0.258,ok
20260418_105115_lambda_1550p0nm,point_04_U6_x239_y132,5pps,239,132,1793,311.7229252,612895,11472,0.173,0.287,4.026,6.679,239,130,10.27,5.586,0,-2,2,0,-0.086,0.086,ok
20260418_114236_lambda_1543p4nm,point_01_Z0_x81_y108,5pps,81,108,1793,310.2900889,576558,10138,0.172,0.277,4.003,6.447,81,108,3.48,4.641,0,0,0,-0,0,0,ok
20260418_114236_lambda_1543p4nm,point_02_Z1_x95_y108,5pps,95,108,1793,299.1610416,586730,9472,0.189,0.304,4.399,7.075,95,103,4.082,4.426,0,-5,5,-0,-0.215,0.215,ok
20260418_114236_lambda_1543p4nm,point_03_Z2_x109_y108,5pps,109,108,1793,325.7323195,542234,8837,0.188,0.15,4.375,3.491,108,104,4.641,4.469,-1,-4,4.123,-0.043,-0.172,0.177,ok
20260418_114236_lambda_1543p4nm,point_04_Z3_x123_y108,5pps,123,108,1793,296.1004546,575175,10155,0.176,0.252,4.096,5.865,123,106,5.285,4.555,0,-2,2,-0,-0.086,0.086,ok
20260418_114236_lambda_1543p4nm,point_05_J0_x173_y108,5pps,173,108,1793,311.3133964,607747,10380,0.173,0.297,4.026,6.912,173,107,7.434,4.598,0,-1,1,0,-0.043,0.043,ok
20260418_114236_lambda_1543p4nm,point_06_U0_x197_y108,5pps,197,108,1793,310.7565972,586060,10441,0.171,0.161,3.98,3.747,197,106,8.465,4.555,0,-2,2,0,-0.086,0.086,ok
20260418_114236_lambda_1543p4nm,point_07_U4_x239_y108,5pps,239,108,1793,313.1074582,620463,11649,0.167,0.288,3.887,6.703,239,106,10.27,4.555,0,-2,2,0,-0.086,0.086,ok
20260418_134037_lambda_1546p7nm,point_01_Z8_x113_y120,5pps,113,120,1793,306.977304,418020,2852,0.19,0.128,4.422,2.979,113,115,4.855,4.941,0,-5,5,-0,-0.215,0.215,ok
20260418_134037_lambda_1546p7nm,point_02_J1_x173_y120,5pps,173,120,1793,332.2115923,424603,2961,0.18,0.172,4.189,4.003,173,119,7.434,5.113,0,-1,1,0,-0.043,0.043,ok
20260418_134037_lambda_1546p7nm,point_03_U1_x197_y120,5pps,197,120,1793,316.9075652,424141,3126,0.205,0.1,4.771,2.327,197,114,8.465,4.898,0,-6,6,0,-0.258,0.258,ok
20260418_134037_lambda_1546p7nm,point_04_U5_x239_y120,5pps,239,120,1793,305.1661379,426374,3665,0.203,0.106,4.724,2.467,239,114,10.27,4.898,0,-6,6,0,-0.258,0.258,ok
