method,point_count,mean_eval_count,mean_elapsed_sec,mean_final_intensity,mean_best_intensity,mean_target_deviation_px,mean_target_deviation_deg,mean_phase_FWHM_deg,mean_wl_FWHM_deg
5pps,55,1792.98181818182,310.807910549091,548558.8,8611.50909090909,3.57292727272727,0.153563636363636,0.184345454545455,0.199781818181818
mREV,1,76159,6070.1224748,640031,11227,2,0.086,0.174,0.308
