point_index,method,input_wavelength_nm,matched_wavelength_nm,delta_lambda_nm,letter,letter_index,point_id,x_pixel,y_pixel,image_path,result_path,best_intensity,final_intensity,eval_count,elapsed_sec,status,error_message
1,5pps,1556.027,1556.027,6.027,C,6,C6,227,154,E:\2026光赛\vision0420\calibration_outputs\20260420_121340_lambda_1556p027nm\point_01_C6_x227_y154_best_image.tif,E:\2026光赛\vision0420\calibration_outputs\20260420_121340_lambda_1556p027nm\point_01_C6_x227_y154_result.mat,12984,653052,1793,304.0980031,completed,
2,5pps,1556.027,1556.027,6.027,C,14,C14,93,154,E:\2026光赛\vision0420\calibration_outputs\20260420_121340_lambda_1556p027nm\point_02_C14_x93_y154_best_image.tif,E:\2026光赛\vision0420\calibration_outputs\20260420_121340_lambda_1556p027nm\point_02_C14_x93_y154_result.mat,11478,633981,1793,303.905181,completed,
