point_index,method,input_wavelength_nm,matched_wavelength_nm,delta_lambda_nm,letter,letter_index,point_id,x_pixel,y_pixel,image_path,result_path,best_intensity,final_intensity,eval_count,elapsed_sec,status,error_message
1,5pps,1561.233,1561.233,11.233,C,7,C7,217,173,E:\2026光赛\vision0420\calibration_outputs\20260420_123204_lambda_1561p233nm\point_01_C7_x217_y173_best_image.tif,E:\2026光赛\vision0420\calibration_outputs\20260420_123204_lambda_1561p233nm\point_01_C7_x217_y173_result.mat,12943,612008,1793,306.2960521,completed,
2,5pps,1561.233,1561.233,11.233,C,13,C13,103,173,E:\2026光赛\vision0420\calibration_outputs\20260420_123204_lambda_1561p233nm\point_02_C13_x103_y173_best_image.tif,E:\2026光赛\vision0420\calibration_outputs\20260420_123204_lambda_1561p233nm\point_02_C13_x103_y173_result.mat,12301,651413,1793,295.0093396,completed,
