point_index,method,input_wavelength_nm,matched_wavelength_nm,delta_lambda_nm,letter,letter_index,point_id,x_pixel,y_pixel,image_path,result_path,best_intensity,final_intensity,eval_count,elapsed_sec,status,error_message
1,5pps,1556.6,1556.6,6.575,Z,4,Z4,81,156,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_01_Z4_x81_y156_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_01_Z4_x81_y156_result.mat,4128,441952,1793,319.9125672,completed,
2,5pps,1556.6,1556.6,6.575,Z,5,Z5,95,156,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_02_Z5_x95_y156_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_02_Z5_x95_y156_result.mat,4661,435897,1793,296.9031973,completed,
3,5pps,1556.6,1556.6,6.575,Z,6,Z6,109,156,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_03_Z6_x109_y156_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_03_Z6_x109_y156_result.mat,3678,444191,1793,312.3136859,completed,
4,5pps,1556.6,1556.6,6.575,Z,7,Z7,123,156,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_04_Z7_x123_y156_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_04_Z7_x123_y156_result.mat,3721,436890,1793,305.7611947,completed,
5,5pps,1556.6,1556.6,6.575,J,4,J4,163,156,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_05_J4_x163_y156_best_image.tif,E:\2026光赛\vision0418\calibration_outputs\20260418_145423_lambda_1556p6nm\point_05_J4_x163_y156_result.mat,3913,423009,1792,310.5281781,completed,
